ms,phase,tempC,humPct,pressHpa,gasKOhms,deltaGasKOhms,gasDropPct,deltaHumPct
526306,ambient,25.80,26.78,1002.36,28.59,0.00,0.00,0.00
528675,ambient,25.79,26.77,1002.35,28.74,0.00,0.00,0.00
531044,ambient,25.79,26.75,1002.35,28.90,0.00,0.00,0.00
533413,ambient,25.80,26.73,1002.36,28.90,0.00,0.00,0.00
535782,ambient,25.80,26.72,1002.35,29.00,0.00,0.00,0.00
538151,ambient,25.80,26.72,1002.35,28.94,0.00,0.00,0.00
540520,ambient,25.80,26.72,1002.35,28.96,0.00,0.00,0.00
542889,ambient,25.80,26.71,1002.36,28.82,0.00,0.00,0.00
545258,ambient,25.80,26.70,1002.37,29.14,0.00,0.00,0.00
547627,ambient,25.80,26.71,1002.37,28.94,0.00,0.00,0.00
549996,ambient,25.80,26.70,1002.37,29.04,0.00,0.00,0.00
552365,ambient,25.80,26.70,1002.37,29.04,0.00,0.00,0.00
554734,ambient,25.80,26.70,1002.37,29.02,0.00,0.00,0.00
557103,ambient,25.80,26.71,1002.37,29.16,0.00,0.00,0.00
559472,ambient,25.80,26.70,1002.36,29.04,0.00,0.00,0.00
561841,ambient,25.80,26.71,1002.35,28.98,0.00,0.00,0.00
564210,ambient,25.80,26.71,1002.35,28.98,0.00,0.00,0.00
566579,ambient,25.80,26.72,1002.34,28.94,0.00,0.00,0.00
568948,ambient,25.80,26.71,1002.35,28.98,0.00,0.00,0.00
571317,ambient,25.80,26.71,1002.35,29.00,0.00,0.00,0.00
573686,ambient,25.80,26.72,1002.35,29.02,0.00,0.00,0.00
576055,ambient,25.80,26.71,1002.36,29.02,0.00,0.00,0.00
578424,ambient,25.79,26.72,1002.35,29.12,0.00,0.00,0.00
580793,ambient,25.79,26.72,1002.36,29.00,0.00,0.00,0.00
583162,ambient,25.79,26.72,1002.37,29.16,0.00,0.00,0.00
585531,ambient,25.79,26.72,1002.37,29.14,0.00,0.00,0.00
587900,ambient,25.79,26.73,1002.36,29.22,0.00,0.00,0.00
590269,ambient,25.79,26.73,1002.37,29.30,0.00,0.00,0.00
592638,ambient,25.79,26.72,1002.39,29.24,0.00,0.00,0.00
595007,ambient,25.79,26.72,1002.40,29.34,0.00,0.00,0.00
597376,ambient,25.79,26.72,1002.39,29.42,0.00,0.00,0.00
599745,ambient,25.79,26.72,1002.39,29.36,0.00,0.00,0.00
602114,ambient,25.79,26.72,1002.39,29.50,0.00,0.00,0.00
604483,ambient,25.79,26.71,1002.38,29.54,0.00,0.00,0.00
606852,ambient,25.78,26.71,1002.38,29.70,0.00,0.00,0.00
609221,ambient,25.78,26.71,1002.38,29.54,0.00,0.00,0.00
611590,ambient,25.78,26.72,1002.38,29.70,0.00,0.00,0.00
613959,ambient,25.77,26.73,1002.38,29.75,0.00,0.00,0.00
616328,ambient,25.77,26.72,1002.36,29.75,0.00,0.00,0.00
618697,ambient,25.77,26.71,1002.36,29.83,0.00,0.00,0.00
621066,ambient,25.76,26.73,1002.35,29.81,0.00,0.00,0.00
623435,ambient,25.76,26.74,1002.36,29.89,0.00,0.00,0.00
625804,ambient,25.76,26.73,1002.35,29.83,0.00,0.00,0.00
628173,ambient,25.75,26.72,1002.35,29.87,0.00,0.00,0.00
630542,ambient,25.75,26.73,1002.36,29.85,0.00,0.00,0.00
632911,ambient,25.75,26.73,1002.37,29.79,0.00,0.00,0.00
635280,ambient,25.74,26.73,1002.37,29.79,0.00,0.00,0.00
637649,ambient,25.74,26.73,1002.36,29.83,0.00,0.00,0.00
640018,ambient,25.74,26.74,1002.36,29.73,0.00,0.00,0.00
642387,ambient,25.73,26.75,1002.35,29.42,0.00,0.00,0.00
644756,ambient,25.73,26.75,1002.34,29.50,0.00,0.00,0.00
647125,ambient,25.73,26.77,1002.34,29.42,0.00,0.00,0.00
649494,ambient,25.73,26.77,1002.34,29.24,0.00,0.00,0.00
651863,ambient,25.73,26.76,1002.34,29.28,0.00,0.00,0.00
654232,ambient,25.73,26.77,1002.35,29.42,0.00,0.00,0.00
656601,ambient,25.73,26.77,1002.35,29.66,0.00,0.00,0.00
658970,ambient,25.73,26.77,1002.35,29.70,0.00,0.00,0.00
661339,ambient,25.73,26.78,1002.36,29.89,0.00,0.00,0.00
663708,ambient,25.73,26.77,1002.37,29.83,0.00,0.00,0.00
666077,ambient,25.73,26.77,1002.38,29.87,0.00,0.00,0.00
668446,ambient,25.74,26.77,1002.37,29.87,0.00,0.00,0.00
670815,ambient,25.74,26.78,1002.37,30.00,0.00,0.00,0.00
673184,ambient,25.74,26.77,1002.37,30.00,0.00,0.00,0.00
675553,ambient,25.74,26.77,1002.38,30.10,0.00,0.00,0.00
677922,ambient,25.75,26.77,1002.38,30.17,0.00,0.00,0.00
680291,ambient,25.75,26.76,1002.37,30.10,0.00,0.00,0.00
682660,ambient,25.75,26.75,1002.37,29.95,0.00,0.00,0.00
685029,ambient,25.76,26.75,1002.37,29.93,0.00,0.00,0.00
687398,ambient,25.76,26.75,1002.37,30.00,0.00,0.00,0.00
689767,ambient,25.76,26.74,1002.37,29.91,0.00,0.00,0.00
692136,ambient,25.77,26.74,1002.38,29.98,0.00,0.00,0.00
694505,ambient,25.77,26.73,1002.38,30.00,0.00,0.00,0.00
696874,ambient,25.78,26.72,1002.38,29.85,0.00,0.00,0.00
699243,ambient,25.78,26.72,1002.36,29.75,0.00,0.00,0.00
701612,ambient,25.78,26.72,1002.36,29.77,0.00,0.00,0.00
703981,ambient,25.78,26.70,1002.35,29.87,0.00,0.00,0.00
706350,ambient,25.78,26.71,1002.35,30.00,0.00,0.00,0.00
708719,ambient,25.78,26.72,1002.35,30.04,0.00,0.00,0.00
711088,ambient,25.78,26.70,1002.35,30.17,0.00,0.00,0.00
713457,ambient,25.78,26.71,1002.35,30.30,0.00,0.00,0.00
715826,ambient,25.79,26.72,1002.35,30.32,0.00,0.00,0.00
718195,ambient,25.79,26.70,1002.36,30.25,0.00,0.00,0.00
720564,ambient,25.79,26.70,1002.36,30.34,0.00,0.00,0.00
722933,ambient,25.79,26.70,1002.36,30.42,0.00,0.00,0.00
725302,ambient,25.79,26.69,1002.35,30.40,0.00,0.00,0.00
727671,ambient,25.79,26.68,1002.36,30.42,0.00,0.00,0.00
730040,ambient,25.80,26.69,1002.35,30.32,0.00,0.00,0.00
732409,ambient,25.80,26.69,1002.35,30.21,0.00,0.00,0.00
734778,ambient,25.80,26.67,1002.35,30.19,0.00,0.00,0.00
737147,ambient,25.80,26.67,1002.35,30.38,0.00,0.00,0.00
739516,ambient,25.80,26.66,1002.36,30.38,0.00,0.00,0.00
741885,ambient,25.80,26.67,1002.36,30.38,0.00,0.00,0.00
744254,ambient,25.80,26.67,1002.35,30.56,0.00,0.00,0.00
746623,ambient,25.80,26.65,1002.34,30.78,0.00,0.00,0.00
748992,ambient,25.80,26.65,1002.34,30.82,0.00,0.00,0.00
751361,ambient,25.80,26.65,1002.33,30.73,0.00,0.00,0.00
753730,ambient,25.80,26.65,1002.33,30.64,0.00,0.00,0.00
756099,ambient,25.81,26.64,1002.33,30.56,0.00,0.00,0.00
758468,ambient,25.81,26.65,1002.33,30.38,0.00,0.00,0.00
760837,ambient,25.81,26.65,1002.32,30.34,0.00,0.00,0.00
763206,ambient,25.81,26.64,1002.32,30.34,0.00,0.00,0.00
765575,ambient,25.81,26.64,1002.33,30.21,0.00,0.00,0.00
767944,ambient,25.81,26.65,1002.34,30.21,0.00,0.00,0.00
770313,ambient,25.81,26.65,1002.35,30.19,0.00,0.00,0.00
772682,ambient,25.81,26.65,1002.34,30.25,0.00,0.00,0.00
775051,ambient,25.81,26.64,1002.33,30.34,0.00,0.00,0.00
777420,ambient,25.82,26.65,1002.33,30.67,0.00,0.00,0.00
779789,ambient,25.82,26.65,1002.33,30.58,0.00,0.00,0.00
782158,ambient,25.82,26.66,1002.33,30.64,0.00,0.00,0.00
784527,ambient,25.82,26.66,1002.33,30.75,0.00,0.00,0.00
786896,ambient,25.82,26.66,1002.32,30.78,0.00,0.00,0.00
789265,ambient,25.83,26.66,1002.32,30.73,0.00,0.00,0.00
791634,ambient,25.83,26.66,1002.31,30.64,0.00,0.00,0.00
794003,ambient,25.83,26.65,1002.31,30.80,0.00,0.00,0.00
796372,ambient,25.83,26.66,1002.31,30.75,0.00,0.00,0.00
798741,ambient,25.83,26.65,1002.31,30.86,0.00,0.00,0.00
801110,ambient,25.84,26.65,1002.31,30.98,0.00,0.00,0.00
803479,ambient,25.84,26.65,1002.31,31.05,0.00,0.00,0.00
805848,ambient,25.85,26.64,1002.31,31.11,0.00,0.00,0.00
808217,ambient,25.85,26.65,1002.30,30.95,0.00,0.00,0.00
810586,ambient,25.85,26.65,1002.30,31.00,0.00,0.00,0.00
812955,ambient,25.85,26.65,1002.30,31.07,0.00,0.00,0.00
815324,ambient,25.85,26.64,1002.29,31.00,0.00,0.00,0.00
817693,ambient,25.86,26.65,1002.29,31.14,0.00,0.00,0.00
820062,ambient,25.86,26.63,1002.30,31.00,0.00,0.00,0.00
822431,ambient,25.86,26.62,1002.30,31.07,0.00,0.00,0.00
824800,ambient,25.86,26.62,1002.30,31.18,0.00,0.00,0.00
827169,ambient,25.87,26.61,1002.29,31.32,0.00,0.00,0.00
829538,ambient,25.87,26.60,1002.28,31.32,0.00,0.00,0.00
831907,ambient,25.87,26.59,1002.29,31.34,0.00,0.00,0.00
834276,ambient,25.88,26.59,1002.28,31.32,0.00,0.00,0.00
836645,ambient,25.88,26.59,1002.28,31.36,0.00,0.00,0.00
839014,ambient,25.88,26.58,1002.29,31.46,0.00,0.00,0.00
841383,ambient,25.89,26.58,1002.29,31.41,0.00,0.00,0.00
843752,ambient,25.89,26.57,1002.29,31.43,0.00,0.00,0.00
846121,ambient,25.89,26.57,1002.27,31.27,0.00,0.00,0.00
848490,ambient,25.89,26.57,1002.28,31.23,0.00,0.00,0.00
850859,ambient,25.89,26.57,1002.27,31.09,0.00,0.00,0.00
853228,ambient,25.89,26.56,1002.28,30.95,0.00,0.00,0.00
855597,ambient,25.89,26.57,1002.28,30.78,0.00,0.00,0.00
857966,ambient,25.89,26.57,1002.28,30.86,0.00,0.00,0.00
860335,ambient,25.89,26.57,1002.28,30.86,0.00,0.00,0.00
862704,ambient,25.89,26.57,1002.28,30.86,0.00,0.00,0.00
865073,ambient,25.89,26.57,1002.27,31.00,0.00,0.00,0.00
867442,ambient,25.89,26.57,1002.27,31.11,0.00,0.00,0.00
869811,ambient,25.89,26.55,1002.27,31.18,0.00,0.00,0.00
872180,ambient,25.90,26.55,1002.28,31.30,0.00,0.00,0.00
874549,ambient,25.90,26.56,1002.27,31.55,0.00,0.00,0.00
876918,ambient,25.91,26.53,1002.26,31.62,0.00,0.00,0.00
879287,ambient,25.92,26.52,1002.26,31.57,0.00,0.00,0.00
881656,ambient,25.92,26.51,1002.24,31.64,0.00,0.00,0.00
884025,ambient,25.93,26.49,1002.25,31.69,0.00,0.00,0.00
886394,ambient,25.93,26.49,1002.25,31.71,0.00,0.00,0.00
888763,ambient,25.94,26.47,1002.24,31.64,0.00,0.00,0.00
891132,ambient,25.94,26.46,1002.24,31.67,0.00,0.00,0.00
893501,ambient,25.94,26.44,1002.24,31.71,0.00,0.00,0.00
895870,ambient,25.94,26.43,1002.24,31.78,0.00,0.00,0.00
898239,ambient,25.95,26.43,1002.24,31.76,0.00,0.00,0.00
900608,ambient,25.95,26.42,1002.25,31.76,0.00,0.00,0.00
